GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
BIB Manager,com.bib,Reference,4,112,3,7,0,21,3,9,0,7
BIB Manager,com.bib,References,10,377,4,44,3,79,4,31,0,11
